name,address,latitude,longitude,Type,id,webUrl
Les Jardins de la Tour,"La Placette, Rossiniere 1658 Switzerland",46.466667,7.081236,2,4149715,https://www.tripadvisor.com/Restaurant_Review-g1068944-d4149715-Reviews-Les_Jardins_de_la_Tour-Rossiniere_Canton_of_Vaud.html
Le Globe,"route de la Pala 100, Bulle 1630 Switzerland",46.61639,7.03793,2,21300117,https://www.tripadvisor.com/Restaurant_Review-g652156-d21300117-Reviews-Le_Globe-Bulle_La_Gruyere_Canton_of_Fribourg.html
Restaurant du Chamois,"route de Botterens 74 Auberge du Chamois, Botterens 1652 Switzerland",46.61746,7.112486,2,4313263,https://www.tripadvisor.com/Restaurant_Review-g4346337-d4313263-Reviews-Restaurant_du_Chamois-Botterens_Canton_of_Fribourg.html
Buvette au Creux du Feu,"Route du Moleson, Broc 1636 Switzerland",46.606895,7.137318,2,4844065,https://www.tripadvisor.com/Restaurant_Review-g1140517-d4844065-Reviews-Buvette_au_Creux_du_Feu-Broc_La_Gruyere_Canton_of_Fribourg.html
La Brasserie de L'Etoile,"rue du Centre 21, Charmey 1637 Switzerland",46.619408,7.163988,2,19851066,https://www.tripadvisor.com/Restaurant_Review-g635662-d19851066-Reviews-La_Brasserie_de_L_Etoile-Charmey_La_Gruyere_Canton_of_Fribourg.html
Le Bistro Hotel Cailler,"Gros-Plan 28, Charmey 1637 Switzerland",46.6213,7.162729,2,3727313,https://www.tripadvisor.com/Restaurant_Review-g635662-d3727313-Reviews-Le_Bistro_Hotel_Cailler-Charmey_La_Gruyere_Canton_of_Fribourg.html
Cafe des Bossons,"Grand Rue 105, Chateau-d'Oex 1660 Switzerland",46.47605,7.13501,2,10847125,https://www.tripadvisor.com/Restaurant_Review-g580351-d10847125-Reviews-Cafe_des_Bossons-Chateau_d_Oex_Canton_of_Vaud.html
Le Chalet Restaurant,"route de la Gare 2, Chateau-d'Oex 1660 Switzerland",46.473614,7.133575,2,5106692,https://www.tripadvisor.com/Restaurant_Review-g580351-d5106692-Reviews-Le_Chalet_Restaurant-Chateau_d_Oex_Canton_of_Vaud.html
Restaurant Le Vieux Chalet,"place du Cret 20, Cresuz 1653 Switzerland",46.61792,7.14014,2,23231871,https://www.tripadvisor.com/Restaurant_Review-g1524616-d23231871-Reviews-Restaurant_Le_Vieux_Chalet-Cresuz_La_Gruyere_Canton_of_Fribourg.html
Restaurant des Remparts,"Main Place, Gruyeres 1663 Switzerland",46.583435,7.081056,2,1094922,https://www.tripadvisor.com/Restaurant_Review-g198820-d1094922-Reviews-Restaurant_des_Remparts-Gruyeres_La_Gruyere_Canton_of_Fribourg.html
